step,entropy
2093,2.079441
2096,2.079441
2097,2.079441
2099,2.079439
2100,2.079441
2103,2.07944
2104,2.079438
2107,2.079441
2108,2.079439
2110,2.079441
2111,2.079441
2112,2.079441
2113,2.079441
2115,2.079247
2116,2.079441
2117,2.079441
2119,2.079014
2122,2.079441
2124,2.079441
2126,2.079439
2127,2.079441
2128,2.079441
2129,2.079441
2130,2.079441
2132,2.079441
2133,2.079441
2136,2.079441
2139,2.079441
2140,2.079441
2143,2.079154
2144,2.079441
2145,2.079441
2146,2.079441
2147,2.07944
2148,2.079441
2149,2.078997
2150,2.079442
2151,2.079441
2152,2.079441
2153,2.07923
2154,2.079441
2155,2.07942
2157,2.079441
2158,2.079441
2159,2.079441
2160,2.079442
2161,2.079441
2164,2.079035
2168,2.079442
2169,2.07944
2171,2.07944
2172,2.079441
2175,2.079441
2179,2.079441
2183,2.079441
2184,2.079442
2185,2.079441
2186,2.079441
2189,2.07944
2190,2.079441
2193,2.079442
2194,2.079441
2195,2.079441
2197,2.079441
2198,2.079441
2200,2.079441
2201,2.079441
2202,2.079442
2203,2.079441
2204,2.079441
2207,2.079439
2208,2.079442
2209,2.079441
2211,2.079441
2215,2.079441
2217,2.079441
2218,2.079441
2220,2.07944
2223,2.079439
2225,2.079438
2227,2.079441
2228,2.079442
2230,2.079441
2231,2.079441
2234,2.079441
2235,2.079441
2236,2.079441
2237,2.079441
2239,2.079441
2241,2.079439
2242,2.079441
2244,2.07944
2245,2.079441
2247,2.079441
2248,2.079441
2252,2.079441
2253,2.079441
2256,2.079441
2257,2.079441
2258,2.079441
2259,2.079441
2263,2.07944
2264,2.079441
2265,2.079441
2266,2.079441
2267,2.079166
2268,2.07944
2269,2.079441
2270,2.079441
2273,2.079436
2274,2.079442
2276,2.079441
2277,2.079442
2283,2.07944
2284,2.079441
2285,2.079441
2286,2.079441
2287,2.079441
2288,2.079441
2289,2.079441
2290,2.079099
2291,2.079441
2292,2.07944
2294,2.079437
2297,2.079441
2298,2.079441
2299,2.07944
2301,2.07944
2302,2.079441
2303,2.079441
2304,2.079441
2305,2.07944
2306,2.079441
2307,2.079442
2309,2.079441
2311,2.079441
2313,2.079438
2314,2.079441
2316,2.079442
2317,2.079441
2319,2.079441
2320,2.079433
2321,2.079441
2323,2.079442
2324,2.079441
2326,2.079441
2328,2.079441
2331,2.079438
2332,2.079441
2333,2.079441
2334,2.079442
2335,2.079429
2336,2.079442
2338,2.079442
2339,2.079441
2340,2.079441
2341,2.079442
2345,2.07944
2346,2.079441
2347,2.079441
2348,2.079441
2350,2.079158
2353,2.079441
2355,2.079441
2357,2.079274
2359,2.079441
2360,2.079441
2361,2.079441
2363,2.079441
2364,2.079441
2365,2.079441
2366,2.079441
2367,2.079441
2370,2.079442
2371,2.07944
2372,2.079124
2374,2.07944
2375,2.07944
2376,2.079441
2377,2.079441
