step,loss,ema,perplexity,id_loss,lr,conf_mean,ent_mean,brier,abstain_ratio,chosen_steps,avg_steps,s_max,inflation_rate,high_step_prob,rule_acc,top5_acc,avg_top1_prob,cloze_transition,gate_pass_60_95,z_lang_norm,z_logic_norm,z_bridge_norm,mem_size,rejector_score,tau_r,coverage,use_autonomous,difficulty_level,composite_score,abstain_cap,force_write_enabled,fw_ce,fw_len_pen
230,3.604,2.9165,36.7438,0.1532,0.00184,0.5854,2.5571,0.1369,1.0,7,8.7217,10,1.4536,0.0,0.2132,0.3401,0.2592,0.9697,0.125,0.2013,0.2013,0.6798,0,0.0,0.5,0.0,0,0,1.7383,1.0,0,0.0,0.0
231,3.3441,2.9379,28.3361,0.1835,0.001848,0.5767,3.5881,0.2587,1.0,7,8.7143,10,1.4524,0.0,0.0694,0.4163,0.2591,1.0,0.0,0.2869,0.2869,0.9321,0,0.0,0.5,0.0,0,0,3.3444,1.0,0,0.0,0.0
232,3.0575,2.9438,21.2742,0.0524,0.0018560000000000002,0.5762,1.6795,0.0863,1.0,7,8.7069,10,1.4511,0.0,0.302,0.5347,0.306,1.0,0.125,0.2287,0.2287,0.7027,0,0.0,0.5,0.0,0,0,1.1802,1.0,0,0.0,0.0
233,3.2097,2.9571,24.771,0.1863,0.0018640000000000002,0.5679,3.4928,0.2064,1.0,7,8.6996,10,1.4499,0.0,0.1158,0.4324,0.2232,1.0,0.0,0.2774,0.2774,0.8772,0,0.0,0.5,0.0,0,0,3.064,1.0,0,0.0,0.0
234,4.0526,3.0119,57.5473,0.1873,0.0018720000000000002,0.5601,3.331,0.1897,1.0,7,8.6923,10,1.4487,0.0,0.125,0.2652,0.1764,1.0,0.0,0.2943,0.2943,0.9218,0,0.0,0.5,0.0,0,0,3.0707,1.0,0,0.0,0.0
235,3.2643,3.0245,26.1625,0.2448,0.00188,0.5679,3.5452,0.1393,1.0,7,8.6851,10,1.4475,0.0,0.1935,0.4879,0.1812,1.0,0.125,0.2482,0.2482,0.8528,0,0.0,0.5,0.0,0,0,3.0234,1.0,0,0.0,0.0
236,1.8194,2.9643,6.1679,0.0259,0.001888,0.5483,1.6469,0.0077,1.0,7,8.678,10,1.4463,0.0,0.469,0.869,0.4638,1.0,0.0,0.9115,0.9115,2.9151,0,0.0,0.5,0.0,0,0,4.8008,1.0,0,0.0,0.0
237,4.7508,3.0536,115.6823,0.4766,0.001896,0.5552,5.3185,0.2373,1.0,7,8.6709,10,1.4451,0.0,0.0677,0.2943,0.1546,1.0,0.0,0.6388,0.6388,2.1203,0,0.0,0.5,0.0,0,0,11.277,1.0,0,0.0,0.0
238,2.3402,3.0179,10.3837,0.0048,0.0019039999999999999,0.5488,1.2345,0.0598,1.0,7,8.6639,10,1.444,0.0,0.3065,0.7789,0.3094,1.0,0.0,0.2802,0.2802,0.8451,0,0.0,0.5,0.0,0,0,1.0433,1.0,0,0.0,0.0
239,3.0919,3.0216,22.019,0.0287,0.0019119999999999999,0.4956,1.9744,0.0775,1.0,10,8.6695,10,1.4449,0.0,0.2172,0.3665,0.2602,1.0,0.0,0.2085,0.2085,0.7094,0,0.0,0.5,0.0,0,0,1.4007,1.0,0,0.0,0.0
240,3.0331,3.0222,20.7612,0.2226,0.00192,0.4802,3.3337,0.0984,1.0,10,8.675,10,1.4458,0.0,0.1713,0.5,0.2292,0.975,0.0,0.41,0.41,1.3148,0,0.0,0.5,0.0,0,0,4.383,1.0,0,0.0,0.0
241,3.0394,3.0231,20.8936,0.3303,0.001928,0.4487,3.3744,0.0874,1.0,10,8.6805,10,1.4467,0.0,0.1547,0.4424,0.2231,1.0,0.0,0.3692,0.3692,1.1884,0,0.0,0.5,0.0,0,0,4.0103,1.0,0,0.0,0.0
242,2.4715,2.9955,11.8406,0.0257,0.001936,0.5288,0.8313,0.0462,1.0,7,8.6736,10,1.4456,0.0,0.3265,0.5306,0.4857,1.0,0.0,0.1465,0.1465,0.4664,0,0.0,0.5,0.0,0,0,0.3877,1.0,0,0.0,0.0
243,3.4273,3.0171,30.7931,0.0346,0.001944,0.4458,2.2563,0.0635,1.0,10,8.679,10,1.4465,0.0,0.2234,0.4213,0.2714,1.0,0.0,0.3389,0.3389,0.9732,0,0.0,0.5,0.0,0,0,2.1959,1.0,0,0.0,0.0
244,3.7057,3.0515,40.6803,0.1832,0.001952,0.4045,3.675,0.0647,1.0,10,8.6844,10,1.4474,0.0,0.1532,0.3319,0.1883,1.0,0.0,0.2607,0.2607,0.9277,0,0.0,0.5,0.0,0,0,3.4092,1.0,0,0.0,0.0
245,3.611,3.0795,37.0021,0.1419,0.00196,0.4226,3.7676,0.0552,1.0,10,8.6898,10,1.4483,0.0,0.1886,0.3333,0.2201,1.0,0.0,0.2871,0.2871,1.0499,0,0.0,0.5,0.0,0,0,3.9556,1.0,0,0.0,0.0
246,1.1961,2.9853,3.3071,0.0322,0.001968,0.4617,2.5322,0.1172,1.0,10,8.6951,10,1.4492,0.0,0.8,0.9448,0.475,1.0,0.0,0.938,0.938,3.0563,0,0.0,0.5,0.0,0,0,7.7392,1.0,0,0.0,0.0
247,3.0647,2.9893,21.4275,0.0516,0.001976,0.5527,3.0945,0.2042,1.0,7,8.6883,10,1.448,0.0,0.1086,0.4253,0.2302,1.0,0.0,0.2236,0.2236,0.7467,0,0.0,0.5,0.0,0,0,2.3106,1.0,0,0.0,0.0
248,3.0198,2.9908,20.4876,0.1384,0.001984,0.5728,3.3163,0.1838,1.0,7,8.6815,10,1.4469,0.0,0.1455,0.3843,0.2156,0.975,0.0,0.3228,0.3228,1.0815,0,0.0,0.5,0.0,0,0,3.5866,1.0,0,0.0,0.0
249,4.2795,3.0552,72.2013,0.242,0.001992,0.6016,3.7687,0.2028,1.0,7,8.6747,10,1.4458,0.0,0.1515,0.3455,0.3943,1.0,0.5,0.4107,0.4107,1.448,0,0.0,0.5,0.0,0,0,5.457,1.0,0,0.0,0.0
250,0.5151,2.9282,1.6739,0.0208,0.002,0.5815,1.1539,0.1167,1.0,7,8.668,10,1.4447,0.0,0.9149,1.0,0.6959,1.0,0.125,0.7505,0.7505,2.4567,0,0.0,0.5,0.0,0,0,2.8347,1.0,0,0.0,0.0
