step,stage,shadow_size,shadow_mean_age,shadow_age_p95,shadow_surprise_mean,shadow_surprise_p75,promote_ratio,decay_freq,skip_count,commit_count,merge_count,near_merge_count,mem_size,wm_curr,recall_topk
9700,training,59,653.661,4142,0.1271,0.1631,0.0,0,0,0,0,0,1793,1793,6
9800,training,47,784.5957,4242,0.1346,0.17,0.0,0,0,0,0,0,1811,1811,6
9900,training,84,505.5833,4290,0.1458,0.1924,0.0,0,0,0,0,0,1831,1831,6
10000,training,72,574.6944,4427,0.1306,0.1643,0.0,0,0,0,0,0,1850,1850,6
10100,training,59,652.5763,4542,0.1284,0.1643,0.0,0,0,0,0,0,1869,1869,6
10200,training,45,932.2222,4642,0.0971,0.1325,0.0,0,0,0,0,0,1887,1887,6
10300,training,81,583.7778,4690,0.1437,0.1609,0.0,0,0,0,0,0,1904,1904,6
10400,training,67,760.7313,4827,0.1036,0.1356,0.0,0,0,0,0,0,1925,1925,6
10500,training,53,1048.0566,4942,0.1038,0.139,0.0,0,0,0,0,0,1946,1946,6
10600,training,89,677.0787,4990,0.17,0.2004,0.0,0,0,0,0,0,1965,1965,6
10700,training,71,905.6338,5127,0.1156,0.1468,0.0,0,0,0,0,0,1984,1984,6
10800,training,65,1064.4462,5227,0.1325,0.1503,0.0,0,0,0,0,0,2002,2002,6
10900,training,66,1107.2424,5327,0.1483,0.165,0.0,0,0,0,0,0,2022,2022,6
11000,training,65,1106.9846,5427,0.1206,0.1574,0.0,0,0,0,0,0,2041,2041,6
11100,training,90,859.1889,5490,0.1397,0.1866,0.0,0,0,0,0,0,2059,2059,6
11200,training,73,1114.3288,5627,0.123,0.1499,0.0,0,0,0,0,0,2077,2077,6
11300,training,93,935.8387,5690,0.1577,0.2297,0.0,0,0,0,0,0,2097,2097,6
11400,training,71,1278.4225,5827,0.1548,0.1742,0.0,0,0,0,0,0,2116,2116,6
11500,training,85,1123.9765,5890,0.1316,0.1609,0.0,0,0,0,0,0,2135,2135,6
11600,training,71,1401.7042,6027,0.1339,0.1643,0.0,0,0,0,0,0,2155,2155,6
11700,training,59,1755.2203,6142,0.0983,0.127,0.0,0,0,0,0,0,2174,2174,6
11800,training,47,2252.4043,6242,0.0861,0.1179,0.0,0,0,0,0,0,2192,2192,6
11900,training,85,1309.2941,6290,0.1425,0.1611,0.0,0,0,0,0,0,2211,2211,6
12000,training,70,1655.8143,6427,0.0939,0.1312,0.0,0,0,0,0,0,2232,2232,6
12100,training,54,2217.6481,6542,0.0968,0.1208,0.0,0,0,0,0,0,2252,2252,6
12200,training,73,1690.9315,6627,0.1024,0.1393,0.0,0,0,0,0,0,2271,2271,6
12300,training,59,2161.0508,6742,0.0859,0.1263,0.0,0,0,0,0,0,2292,2292,6
12400,training,46,2574.087,6842,0.0793,0.109,0.0,0,0,0,0,0,2313,2313,6
12500,training,80,1549.35,6927,0.1223,0.1499,0.0,0,0,0,0,0,2334,2334,6
12600,training,89,1451.8876,6990,0.1384,0.1484,0.0,0,0,0,0,0,2353,2353,6
12700,training,90,1482.8444,7090,0.1409,0.2022,0.0,0,0,0,0,0,2374,2374,6
12800,training,49,2704.4286,7242,0.095,0.1151,0.0,0,0,0,0,0,2395,2395,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
400,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
500,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
600,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
700,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
800,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
900,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
1000,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
1100,training,74,45.473,93,0.0584,0.0741,0.0,0,0,0,0,0,29,29,6
1200,training,86,84.4651,190,0.0696,0.0597,0.0,0,0,0,0,0,61,61,6
1300,training,58,94.5345,273,0.06,0.0723,0.0,0,0,0,0,0,92,92,6
1400,training,91,105.1868,346,0.0511,0.0631,0.0,0,0,0,0,0,115,115,6
1500,training,79,154.0759,446,0.0454,0.0597,0.0,0,0,0,0,0,134,134,6
1600,training,67,115.9552,440,0.0393,0.0484,0.0,0,0,0,0,0,153,153,6
1700,training,55,105.7091,520,0.0397,0.0537,0.0,0,0,0,0,0,170,170,6
1800,training,93,112.3548,420,0.0498,0.0599,0.0,0,0,0,0,0,188,188,6
1900,training,81,113.321,520,0.0586,0.0814,0.0,0,0,0,0,0,207,207,6
2000,training,69,143.3623,620,0.0367,0.0499,0.0,0,0,0,0,0,226,226,6
2100,training,57,163.193,920,0.029,0.0377,0.0,0,0,0,0,0,245,245,6
2200,training,45,188.9111,820,0.0323,0.048,0.0,0,0,0,0,0,265,265,6
2300,training,83,139.1687,720,0.0338,0.0499,0.0,0,0,0,0,0,283,283,6
2400,training,71,196.4225,860,0.0296,0.0394,0.0,0,0,0,0,0,301,301,6
2500,training,59,262.4915,1100,0.0279,0.0341,0.0,0,0,0,0,0,320,320,6
2600,training,47,221.4468,1020,0.0369,0.0501,0.0,0,0,0,0,0,337,337,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
400,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
500,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
600,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
700,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
800,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
