step,loss,ema,perplexity,id_loss,lr,conf_mean,ent_mean,brier,abstain_ratio,chosen_steps,avg_steps,s_max,inflation_rate,high_step_prob,rule_acc,top5_acc,avg_top1_prob,cloze_transition,gate_pass_60_95,z_lang_norm,z_logic_norm,z_bridge_norm,mem_size,rejector_score,tau_r,coverage,use_autonomous,difficulty_level,composite_score,abstain_cap,force_write_enabled,fw_ce,fw_len_pen
11,9.0398,9.505,8432.1361,8.6983,8.8e-05,0.2954,9.1924,0.0506,1.0,10,10.0,10,1.6667,0.0,0.0704,0.1021,0.0007,0.0789,0.0,0.09,0.09,0.2305,0,0.0,0.5,0.0,0,0,2.1184,1.0,1,9.7007,0.0
12,8.7416,9.4669,6258.1274,8.6029,9.6e-05,0.2939,9.1917,0.0111,1.0,10,10.0,10,1.6667,0.0,0.1882,0.1882,0.0011,0.1282,0.0,0.0909,0.0909,0.2104,0,0.0,0.5,0.0,0,0,1.9336,1.0,0,0.0,0.0
13,8.7055,9.4288,6036.1667,8.3118,0.000104,0.2979,9.189,0.0228,1.0,10,10.0,10,1.6667,0.0,0.1435,0.1435,0.0019,0.1579,0.0,0.0978,0.0978,0.2068,0,0.0,0.5,0.0,0,0,1.8999,1.0,0,0.0,0.0
14,8.4366,9.3792,4613.015,8.2833,0.000112,0.3013,9.1852,0.015,1.0,10,10.0,10,1.6667,0.0,0.1768,0.1768,0.0035,0.0909,0.0,0.0899,0.0899,0.2244,0,0.0,0.5,0.0,0,0,2.0609,1.0,0,0.0,0.0
15,8.5839,9.3394,5345.1164,8.2507,0.00012,0.3044,9.1786,0.0311,1.0,10,10.0,10,1.6667,0.0,0.125,0.125,0.0055,0.037,0.0,0.0767,0.0767,0.1895,0,0.0,0.5,0.0,0,0,1.7396,1.0,0,0.0,0.0
16,8.1736,9.2811,3545.9963,7.7809,0.000128,0.3086,9.1647,0.0106,1.0,10,10.0,10,1.6667,0.0,0.2078,0.2597,0.0097,0.1579,0.0,0.1149,0.1149,0.2964,0,0.0,0.5,0.0,0,0,2.7164,1.0,0,0.0,0.0
17,7.7122,9.2027,2235.4563,7.7898,0.00013600000000000003,0.3174,9.1422,0.006,1.0,10,10.0,10,1.6667,0.0,0.2406,0.3008,0.0159,0.1282,0.0,0.136,0.136,0.3378,0,0.0,0.5,0.0,0,0,3.0884,1.0,0,0.0,0.0
18,7.5711,9.1211,1941.2083,7.6957,0.000144,0.3257,9.1055,0.0095,1.0,10,10.0,10,1.6667,0.0,0.2286,0.2857,0.0247,0.1282,0.0,0.136,0.136,0.3364,0,0.0,0.5,0.0,0,0,3.0634,1.0,0,0.0,0.0
19,8.2842,9.0793,3960.9901,7.714,0.000152,0.3313,9.0605,0.0517,1.0,10,10.0,10,1.6667,0.0,0.1032,0.129,0.0318,0.0909,0.0,0.1262,0.1262,0.2794,0,0.0,0.5,0.0,0,0,2.5311,1.0,0,0.0,0.0
20,8.0302,9.0268,3072.3121,7.4037,0.00016,0.3367,8.9952,0.039,1.0,10,10.0,10,1.6667,0.0,0.1373,0.176,0.047,0.1556,0.0,0.1209,0.1209,0.2655,0,0.0,0.5,0.0,0,0,2.3881,1.0,1,9.0523,0.0
21,7.2475,8.9378,1404.5882,7.6225,0.00016800000000000002,0.3484,8.9249,0.0112,1.0,10,10.0,10,1.6667,0.0,0.2424,0.3561,0.0623,0.1,0.0,0.1372,0.1372,0.3214,0,0.0,0.5,0.0,0,0,2.8684,1.0,0,0.0,0.0
22,7.8607,8.884,2593.4108,7.4746,0.000176,0.3574,8.8746,0.042,1.0,10,10.0,10,1.6667,0.0,0.1509,0.2123,0.0697,0.0909,0.0,0.0894,0.0894,0.2328,0,0.0,0.5,0.0,0,0,2.0663,1.0,0,0.0,0.0
23,7.6922,8.8244,2191.1349,7.1609,0.000184,0.3708,8.8024,0.0506,1.0,10,10.0,10,1.6667,0.0,0.1448,0.2262,0.0808,0.0769,0.0,0.1618,0.1618,0.3316,0,0.0,0.5,0.0,0,0,2.9189,1.0,0,0.0,0.0
24,7.8567,8.776,2583.1067,7.2395,0.000192,0.377,8.7569,0.055,1.0,10,10.0,10,1.6667,0.0,0.1397,0.214,0.0897,0.0909,0.0,0.1016,0.1016,0.2476,0,0.0,0.5,0.0,0,0,2.1685,1.0,0,0.0,0.0
25,7.6135,8.7179,2025.3296,6.9946,0.0002,0.3894,8.7488,0.054,1.0,10,10.0,10,1.6667,0.0,0.1538,0.2356,0.0903,0.1282,0.0,0.102,0.102,0.2424,0,0.0,0.5,0.0,0,0,2.1207,1.0,0,0.0,0.0
26,7.5522,8.6596,1905.0168,7.2419,0.000208,0.3972,8.7294,0.074,1.0,10,10.0,10,1.6667,0.0,0.1231,0.1962,0.0904,0.1064,0.0,0.1397,0.1397,0.3148,0,0.0,0.5,0.0,0,0,2.7482,1.0,0,0.0,0.0
27,6.6765,8.5604,793.5072,6.8218,0.000216,0.4062,8.7222,0.019,1.0,10,10.0,10,1.6667,0.0,0.2685,0.396,0.0947,0.0909,0.0,0.1497,0.1497,0.3737,0,0.0,0.5,0.0,0,0,3.2595,1.0,0,0.0,0.0
28,7.2634,8.4956,1427.0856,6.7806,0.000224,0.4106,8.7393,0.0774,1.0,10,10.0,10,1.6667,0.0,0.1322,0.2273,0.0898,0.1304,0.0,0.1578,0.1578,0.3478,0,0.0,0.5,0.0,0,0,3.0398,1.0,0,0.0,0.0
29,7.4221,8.4419,1672.5239,6.7689,0.00023200000000000003,0.4153,8.7628,0.0714,1.0,10,10.0,10,1.6667,0.0,0.1461,0.2237,0.0838,0.1,0.0,0.1208,0.1208,0.3018,0,0.0,0.5,0.0,0,0,2.645,1.0,0,0.0,0.0
30,7.0906,8.3744,1200.6606,6.8837,0.00024,0.417,8.7625,0.0626,1.0,10,10.0,10,1.6667,0.0,0.1624,0.2589,0.0856,0.0732,0.0,0.1466,0.1466,0.348,0,0.0,0.5,0.0,0,0,3.0496,1.0,1,8.0973,0.0
31,7.1966,8.3155,1334.8927,6.3353,0.000248,0.4253,8.7737,0.0558,1.0,10,10.0,10,1.6667,0.0,0.1911,0.293,0.0831,0.0909,0.0,0.1414,0.1414,0.345,0,0.0,0.5,0.0,0,0,3.027,1.0,0,0.0,0.0
32,7.0035,8.2499,1100.4728,6.2021,0.000256,0.4348,8.7621,0.0745,1.0,10,10.0,10,1.6667,0.0,0.1531,0.2344,0.0822,0.0909,0.0,0.1522,0.1522,0.3666,0,0.0,0.5,0.0,0,0,3.2125,1.0,0,0.0,0.0
33,6.7765,8.1762,876.9941,6.2682,0.000264,0.4377,8.7359,0.092,1.0,10,10.0,10,1.6667,0.0,0.1322,0.2686,0.0831,0.1,0.0,0.1767,0.1767,0.3758,0,0.0,0.5,0.0,0,0,3.2833,1.0,0,0.0,0.0
34,6.3644,8.0856,580.8142,5.8742,0.00027200000000000005,0.4395,8.6999,0.0447,1.0,10,10.0,10,1.6667,0.0,0.227,0.3546,0.092,0.1556,0.0,0.1726,0.1726,0.3959,0,0.0,0.5,0.0,0,0,3.4446,1.0,1,7.4091,0.0
35,6.9918,8.0309,1087.7116,5.5981,0.0016,0.4473,8.6928,0.0911,1.0,10,10.0,10,1.6667,0.0,0.1441,0.2162,0.0874,0.1818,0.0,0.1418,0.1418,0.3388,0,0.0,0.5,0.0,0,0,2.9455,1.0,0,0.0,0.0
36,6.2109,7.9399,498.1379,5.2097,0.0016,0.4729,8.4081,0.1003,1.0,10,10.0,10,1.6667,0.0,0.155,0.1938,0.1134,0.1481,0.0,0.1837,0.1837,0.4132,0,0.0,0.5,0.0,0,0,3.4739,1.0,1,5.6966,0.0
37,5.625,7.8242,277.2597,4.4876,0.0016,0.5117,8.1861,0.1176,1.0,7,9.9189,10,1.6532,0.0,0.1681,0.2227,0.1094,0.25,0.0,0.1365,0.1365,0.3468,0,0.0,0.5,0.0,0,0,2.839,1.0,0,0.0,0.0
38,5.4944,7.7077,243.3287,3.9426,0.0016,0.4895,7.5055,0.0948,1.0,10,9.9211,10,1.6535,0.0,0.1802,0.2162,0.1724,0.25,0.0,0.141,0.141,0.3193,0,0.0,0.5,0.0,0,0,2.3967,1.0,0,0.0,0.0
39,4.4232,7.5435,83.3659,3.508,0.0016,0.4319,6.5396,0.0665,1.0,10,9.9231,10,1.6538,0.0,0.1732,0.2597,0.2776,0.2632,0.0,0.1346,0.1346,0.3242,0,0.0,0.5,0.0,0,0,2.1199,1.0,1,2.9203,0.0
40,4.0622,7.3694,58.1044,3.4032,0.0016,0.426,5.9455,0.0577,1.0,10,9.925,10,1.6542,0.0,0.185,0.3084,0.2424,0.2121,0.0,0.1379,0.1379,0.3306,0,0.0,0.5,0.0,0,0,1.9657,1.0,0,0.0,0.0
41,5.6446,7.2832,282.7736,3.3505,0.0016,0.4192,6.0859,0.06,1.0,10,9.9268,10,1.6545,0.0,0.1739,0.2609,0.1938,0.2444,0.0,0.1058,0.1058,0.2709,0,0.0,0.5,0.0,0,0,1.6487,1.0,1,2.1737,0.0
42,4.4726,7.1426,87.5814,3.3361,0.0016,0.4663,4.9939,0.0165,1.0,10,9.9286,10,1.6548,0.0,0.3406,0.3768,0.2631,0.1538,0.0,0.0892,0.0892,0.2301,0,0.0,0.5,0.0,0,0,1.149,1.0,0,0.0,0.0
43,3.7204,6.9715,41.279,3.1077,0.0016,0.5317,3.8321,0.0935,1.0,7,9.8605,10,1.6434,0.0,0.2263,0.3539,0.304,0.325,0.0,0.0889,0.0889,0.237,0,0.0,0.5,0.0,0,0,0.9081,1.0,0,0.0,0.0
44,4.1787,6.8319,65.2808,3.0918,0.0016,0.6108,6.0133,0.0595,1.0,7,9.7955,10,1.6326,0.0,0.3664,0.374,0.4611,0.2353,1.0,0.0601,0.0601,0.1745,0,0.0,0.5,0.0,0,0,1.0495,1.0,0,0.0,0.0
45,4.2578,6.7032,70.6516,2.8008,0.0016,0.5669,5.0651,0.0717,1.0,7,9.7333,10,1.6222,0.0,0.3,0.34,0.3571,0.475,0.0,0.0692,0.0692,0.1934,0,0.0,0.5,0.0,0,0,0.9793,1.0,0,0.0,0.0
46,2.9992,6.518,20.0686,2.4477,0.0016,0.5293,3.5063,0.0663,1.0,7,9.6739,10,1.6123,0.0,0.2731,0.4297,0.2583,0.4878,0.0,0.093,0.093,0.2495,0,0.0,0.5,0.0,0,0,0.8747,1.0,0,0.0,0.0
47,3.6133,6.3727,37.0883,2.5359,0.0016,0.4866,4.6956,0.0094,1.0,10,9.6809,10,1.6135,0.0,0.4046,0.4427,0.2991,0.5385,0.0,0.1117,0.1117,0.3362,0,0.0,0.5,0.0,0,0,1.5788,1.0,0,0.0,0.0
48,5.6683,6.3375,289.553,2.4839,0.0016,0.5005,5.5443,0.1045,1.0,7,9.625,10,1.6042,0.0,0.1807,0.253,0.308,0.575,0.0,0.1188,0.1188,0.3868,0,0.0,0.5,0.0,0,0,2.1443,1.0,1,3.4887,0.0
49,5.1204,6.2767,167.4094,2.3479,0.0016,0.5762,4.329,0.1406,1.0,7,9.5714,10,1.5952,0.0,0.1962,0.2536,0.298,0.4103,0.0,0.164,0.164,0.4994,0,0.0,0.5,0.0,0,0,2.1619,1.0,1,1.9179,0.0
50,4.2949,6.1776,73.3222,2.5432,0.0016,0.5649,3.4351,0.099,1.0,7,9.52,10,1.5867,0.0,0.2487,0.3523,0.3391,0.2353,0.0,0.2121,0.2121,0.6424,0,0.0,0.5,0.0,0,0,2.2068,1.0,0,0.0,0.0
51,2.7429,6.0058,15.532,2.1921,0.0016,0.5762,1.3032,0.0732,1.0,7,9.4706,10,1.5784,0.0,0.3305,0.6398,0.3607,0.3158,0.0,0.0826,0.0826,0.2255,0,0.0,0.5,0.0,0,0,0.2938,1.0,0,0.0,0.0
52,4.5389,5.9325,93.5914,2.0843,0.0016,0.5703,1.5052,0.2626,1.0,7,9.4231,10,1.5705,0.0,0.0586,0.2418,0.3587,0.4667,0.0,0.1051,0.1051,0.3326,0,0.0,0.5,0.0,0,0,0.5006,1.0,1,0.5228,0.0
53,5.0126,5.8865,150.2973,2.5241,0.0016,0.5425,1.8536,0.196,1.0,7,9.3774,10,1.5629,0.0,0.1,0.1773,0.1571,0.3913,0.0,0.2333,0.2333,0.6345,0,0.0,0.5,0.0,0,0,1.176,1.0,0,0.0,0.0
54,4.0472,5.7945,57.2374,2.6097,0.0016,0.5264,1.6147,0.1049,1.0,7,9.3333,10,1.5556,0.0,0.2017,0.2876,0.2005,0.3,0.0,0.1399,0.1399,0.4219,0,0.0,0.5,0.0,0,0,0.6812,1.0,0,0.0,0.0
55,4.1092,5.7103,60.8995,2.8517,0.0016,0.5176,2.0474,0.1435,1.0,7,9.2909,10,1.5485,0.0,0.1378,0.2686,0.2997,0.1765,0.0,0.1865,0.1865,0.5969,0,0.0,0.5,0.0,0,0,1.2222,1.0,0,0.0,0.0
56,4.6222,5.6559,101.7219,2.7687,0.0016,0.4771,3.3277,0.1067,1.0,10,9.3036,10,1.5506,0.0,0.1492,0.2621,0.1985,0.2424,0.0,0.3227,0.3227,0.9277,0,0.0,0.5,0.0,0,0,3.087,1.0,0,0.0,0.0
57,9.2418,5.8352,10319.9546,2.972,0.0016,0.4385,5.0384,0.1557,1.0,10,9.3158,10,1.5526,0.0,0.0438,0.0876,0.0961,0.275,0.0,0.8861,0.8861,2.2018,0,0.0,0.5,0.0,0,0,11.0938,1.0,0,0.0,0.0
58,4.6029,5.7736,99.7767,2.9285,0.0016,0.3989,4.6344,0.0411,1.0,10,9.3276,10,1.5546,0.0,0.1951,0.1951,0.2753,0.2593,0.0,0.3884,0.3884,1.0916,0,0.0,0.5,0.0,0,0,5.059,1.0,1,3.7001,0.0
