step,action,reason,sim_max,surprise,surp_norm,entropy,topk,used_key_id,shadow_size,mem_size
602,stage,staged,,,,,6,,79,50,0.205
604,stage,staged,,,,,6,,80,50,0.3976
605,stage,staged,,,,,6,,81,50,0.4189
606,stage,staged,,,,,6,,82,50,0.3953
612,stage,staged,,,,,6,,83,50,0.1203
613,stage,staged,,,,,6,,84,50,0.1172
614,stage,staged,,,,,6,,85,50,0.142
615,stage,staged,,,,,6,,86,50,0.1941
617,stage,staged,,,,,6,,87,50,0.4296
619,commit,add,0.491679310798645,0.7761170566082001,2.6040496304009433,2.0793261528015137,6,44,87,51
622,commit,add,0.5615745186805725,0.46122658252716064,1.1267863946655023,2.07926607131958,6,49,87,52
623,commit,add,0.5952128171920776,0.5237476825714111,1.3646118486068046,2.0789690017700195,6,51,87,53
652,stage,staged,,,,,6,,88,53,0.1984
655,stage,staged,,,,,6,,89,53,0.361
658,stage,staged,,,,,6,,90,53,0.3072
661,stage,staged,,,,,6,,91,53,0.4153
662,stage,staged,,,,,6,,92,53,0.3024
668,stage,staged,,,,,6,,93,53,0.3245
670,stage,staged,,,,,6,,94,53,0.1777
673,stage,staged,,,,,6,,95,53,0.1705
675,stage,staged,,,,,6,,96,53,0.1036
678,stage,staged,,,,,6,,97,53,0.2779
681,commit,add,0.554753839969635,0.4899107813835144,1.2167437743321283,2.079188108444214,6,52,97,54
683,stage,staged,,,,,6,,98,54,0.3057
687,stage,staged,,,,,6,,99,54,0.1549
689,stage,staged,,,,,6,,100,54,0.0932
691,stage,staged,,,,,6,,101,54,0.2118
694,stage,staged,,,,,6,,102,54,0.2237
696,stage,staged,,,,,6,,103,54,0.1863
699,stage,staged,,,,,6,,104,54,0.1045
661,promote,shadow_promote,,,,,6,,97,55
617,promote,shadow_promote,,,,,6,,97,56
605,promote,shadow_promote,,,,,6,,97,57
606,promote,shadow_promote,,,,,6,,97,58
604,promote,shadow_promote,,,,,6,,97,59
655,promote,shadow_promote,,,,,6,,97,60
668,promote,shadow_promote,,,,,6,,97,61
701,stage,staged,,,,,6,,98,61,0.1367
702,stage,staged,,,,,6,,99,61,0.1054
703,commit,add,0.565081775188446,0.7007476091384888,2.2517861131399943,2.079197883605957,6,53,99,62
709,commit,add,0.47020798921585083,0.6225816607475281,1.810493179543839,2.0793519020080566,6,43,99,63
711,stage,staged,,,,,6,,100,63,0.1901
714,stage,staged,,,,,6,,101,63,0.1111
715,commit,add,0.5637420415878296,0.6897193789482117,1.952209739133817,2.079328775405884,6,61,101,64
717,stage,staged,,,,,6,,102,64,0.1583
718,stage,staged,,,,,6,,103,64,0.0488
719,stage,staged,,,,,6,,104,64,0.3264
721,commit,add,0.5672239661216736,0.48558998107910156,1.1015271162167664,2.0791995525360107,6,63,104,65
723,stage,staged,,,,,6,,105,65,0.3232
724,stage,staged,,,,,6,,106,65,0.1557
725,stage,staged,,,,,6,,107,65,0.0949
727,stage,staged,,,,,6,,108,65,0.2586
728,stage,staged,,,,,6,,109,65,0.2827
731,stage,staged,,,,,6,,110,65,0.2817
732,commit,add,0.5699254274368286,0.48263752460479736,1.0901300924396307,2.0793118476867676,6,61,110,66
741,stage,staged,,,,,6,,111,66,0.622
746,commit,add,0.5763158798217773,0.559405118227005,1.3804585110276886,2.0793707370758057,6,3,111,67
749,stage,staged,,,,,6,,112,67,0.1679
741,promote,shadow_promote,,,,,6,,107,68
719,promote,shadow_promote,,,,,6,,107,69
723,promote,shadow_promote,,,,,6,,107,70
495,promote,shadow_promote,,,,,6,,107,71
504,promote,shadow_promote,,,,,6,,107,72
753,stage,staged,,,,,6,,108,72,0.2356
754,stage,staged,,,,,6,,109,72,0.1672
756,commit,add,0.5479808449745178,0.5603249371051788,1.3842688449155551,2.0794317722320557,6,65,109,73
757,stage,staged,,,,,6,,110,73,0.3627
758,stage,staged,,,,,6,,111,73,0.601
759,stage,staged,,,,,6,,112,73,0.2381
760,stage,staged,,,,,6,,113,73,0.275
762,stage,staged,,,,,6,,114,73,0.2194
765,commit,add,0.5827124714851379,0.828642725944519,2.5565069116207866,2.079436779022217,6,3,114,74
766,stage,staged,,,,,6,,115,74,0.4331
769,stage,staged,,,,,6,,116,74,0.43
770,stage,staged,,,,,6,,117,74,0.1194
771,stage,staged,,,,,6,,118,74,0.0949
772,stage,staged,,,,,6,,119,74,0.3167
773,stage,staged,,,,,6,,120,74,0.4329
775,stage,staged,,,,,6,,121,74,0.6386
776,stage,staged,,,,,6,,122,74,0.6383
779,commit,add,0.5722799897193909,0.5138111114501953,1.1289376559862518,2.0793778896331787,6,3,122,75
780,stage,staged,,,,,6,,123,75,0.2651
783,stage,staged,,,,,6,,124,75,0.1961
784,stage,staged,,,,,6,,125,75,0.4362
786,commit,add,0.5886857509613037,0.6559241414070129,1.7110773655451992,2.0794310569763184,6,68,125,76
788,stage,staged,,,,,6,,126,76,0.3631
793,stage,staged,,,,,6,,127,76,0.2434
794,stage,staged,,,,,6,,128,76,0.6137
795,stage,staged,,,,,6,,129,76,0.612
796,stage,staged,,,,,6,,130,76,0.613
797,stage,staged,,,,,6,,131,76,0.6261
776,promote,shadow_promote,,,,,6,,129,77
775,promote,shadow_promote,,,,,6,,129,78
800,stage,staged,,,,,6,,130,78,0.6205
801,stage,staged,,,,,6,,131,78,0.6176
802,stage,staged,,,,,6,,132,78,0.2528
805,stage,staged,,,,,6,,133,78,0.1599
807,stage,staged,,,,,6,,134,78,0.1257
809,commit,add,0.536129355430603,0.48283034563064575,1.0008047130622229,2.0794177055358887,6,69,134,79
810,stage,staged,,,,,6,,135,79,0.6089
811,stage,staged,,,,,6,,136,79,0.3078
812,stage,staged,,,,,6,,137,79,0.4667
813,stage,staged,,,,,6,,138,79,0.163
814,stage,staged,,,,,6,,139,79,0.1406
815,stage,staged,,,,,6,,140,79,0.6274
816,stage,staged,,,,,6,,141,79,0.6281
817,stage,staged,,,,,6,,142,79,0.6162
818,stage,staged,,,,,6,,143,79,0.6283
819,stage,staged,,,,,6,,144,79,0.6299
824,stage,staged,,,,,6,,145,79,0.1054
825,stage,staged,,,,,6,,146,79,0.262
826,stage,staged,,,,,6,,147,79,0.1407
827,stage,staged,,,,,6,,148,79,0.4393
828,stage,staged,,,,,6,,149,79,0.2414
829,stage,staged,,,,,6,,150,79,0.0641
830,stage,staged,,,,,6,,151,79,0.3599
832,stage,staged,,,,,6,,152,79,0.0563
833,stage,staged,,,,,6,,153,79,0.0875
835,stage,staged,,,,,6,,154,79,0.2901
836,stage,staged,,,,,6,,155,79,0.2127
841,stage,staged,,,,,6,,156,79,0.2913
844,stage,staged,,,,,6,,157,79,0.0967
846,stage,staged,,,,,6,,158,79,0.2671
847,stage,staged,,,,,6,,159,79,0.3657
849,stage,staged,,,,,6,,160,79,0.4353
819,promote,shadow_promote,,,,,6,,153,80
818,promote,shadow_promote,,,,,6,,153,81
816,promote,shadow_promote,,,,,6,,153,82
815,promote,shadow_promote,,,,,6,,153,83
797,promote,shadow_promote,,,,,6,,153,84
817,promote,shadow_promote,,,,,6,,153,85
801,promote,shadow_promote,,,,,6,,153,86
850,stage,staged,,,,,6,,154,86,0.2731
856,commit,add,0.5184012055397034,0.534922331571579,1.3016645837066043,2.079423427581787,6,79,154,87
857,stage,staged,,,,,6,,155,87,0.4069
859,commit,add,0.559813380241394,1.0652758032083511,3.584085546170717,2.079342842102051,6,86,155,88
860,stage,staged,,,,,6,,156,88,0.6336
861,stage,staged,,,,,6,,157,88,0.6366
862,stage,staged,,,,,6,,158,88,0.6152
863,stage,staged,,,,,6,,159,88,0.0548
864,commit,add,0.5638166666030884,0.6575641334056854,1.76405516782249,2.079395055770874,6,87,159,89
867,stage,staged,,,,,6,,160,89,0.1514
869,stage,staged,,,,,6,,161,89,0.2354
870,stage,staged,,,,,6,,162,89,0.2447
871,commit,add,0.5735378265380859,0.5025569200515747,1.0853964222717878,2.0793581008911133,6,88,162,90
872,commit,add,0.5830947160720825,0.795626237988472,2.362022912168058,2.0792903900146484,6,89,162,91
874,stage,staged,,,,,6,,163,91,0.6228
875,stage,staged,,,,,6,,164,91,0.6302
876,stage,staged,,,,,6,,165,91,0.6255
877,stage,staged,,,,,6,,166,91,0.6046
879,stage,staged,,,,,6,,167,91,0.6275
880,stage,staged,,,,,6,,168,91,0.6103
881,stage,staged,,,,,6,,169,91,0.6315
882,stage,staged,,,,,6,,170,91,0.6207
884,stage,staged,,,,,6,,171,91,0.646
886,stage,staged,,,,,6,,172,91,0.6259
888,stage,staged,,,,,6,,173,91,0.6079
889,stage,staged,,,,,6,,174,91,0.6051
890,stage,staged,,,,,6,,175,91,0.6091
891,stage,staged,,,,,6,,176,91,0.2603
892,stage,staged,,,,,6,,177,91,0.3684
895,stage,staged,,,,,6,,178,91,0.4046
898,stage,staged,,,,,6,,179,91,0.2978
899,stage,staged,,,,,6,,180,91,0.2066
884,promote,shadow_promote,,,,,6,,174,92
881,promote,shadow_promote,,,,,6,,174,93
886,promote,shadow_promote,,,,,6,,174,94
875,promote,shadow_promote,,,,,6,,174,95
861,promote,shadow_promote,,,,,6,,174,96
879,promote,shadow_promote,,,,,6,,174,97
900,stage,staged,,,,,6,,175,97,0.6026
901,stage,staged,,,,,6,,176,97,0.628
905,stage,staged,,,,,6,,177,97,0.3385
908,stage,staged,,,,,6,,178,97,0.1839
909,commit,add,0.4943486750125885,0.6057829856872559,1.5379951391918307,2.0793118476867676,6,20,178,98
913,stage,staged,,,,,6,,179,98,0.0913
918,stage,staged,,,,,6,,180,98,0.083
924,stage,staged,,,,,6,,181,98,0.668
928,stage,staged,,,,,6,,182,98,0.6023
930,stage,staged,,,,,6,,183,98,0.6139
931,stage,staged,,,,,6,,184,98,0.604
932,stage,staged,,,,,6,,185,98,0.3884
933,stage,staged,,,,,6,,186,98,0.33
937,stage,staged,,,,,6,,187,98,0.1839
941,stage,staged,,,,,6,,188,98,0.6234
943,stage,staged,,,,,6,,189,98,0.6298
944,stage,staged,,,,,6,,190,98,0.624
945,stage,staged,,,,,6,,191,98,0.6547
947,stage,staged,,,,,6,,192,98,0.6554
924,promote,shadow_promote,,,,,6,,186,99
945,promote,shadow_promote,,,,,6,,186,100
947,promote,shadow_promote,,,,,6,,186,101
943,promote,shadow_promote,,,,,6,,186,102
944,promote,shadow_promote,,,,,6,,186,103
941,promote,shadow_promote,,,,,6,,186,104
952,stage,staged,,,,,6,,187,104,0.6668
956,stage,staged,,,,,6,,188,104,0.6348
961,stage,staged,,,,,6,,189,104,0.0451
963,commit,add,0.595650851726532,0.4966244697570801,1.0601151722185407,2.079432725906372,6,98,189,105
971,stage,staged,,,,,6,,190,105,0.6733
973,stage,staged,,,,,6,,191,105,0.0422
983,stage,staged,,,,,6,,192,105,0.3631
984,commit,add,0.37048622965812683,0.7003202140331268,1.936102412239904,2.079056739807129,6,39,192,106
985,stage,staged,,,,,6,,193,106,0.103
987,stage,staged,,,,,6,,194,106,0.4257
988,commit,add,0.5405758023262024,0.49627113342285156,1.0584366449702558,2.0744376182556152,6,105,194,107
989,stage,staged,,,,,6,,195,107,0.0798
990,stage,staged,,,,,6,,196,107,0.6469
991,stage,staged,,,,,6,,197,107,0.1762
995,stage,staged,,,,,6,,198,107,0.3289
997,stage,staged,,,,,6,,199,107,0.1411
999,commit,add,0.5544054508209229,0.5286695659160614,1.1924905744742549,2.0794034004211426,6,13,199,108
990,promote,shadow_promote,,,,,6,,192,109
971,promote,shadow_promote,,,,,6,,192,110
952,promote,shadow_promote,,,,,6,,192,111
956,promote,shadow_promote,,,,,6,,192,112
901,promote,shadow_promote,,,,,6,,192,113
930,promote,shadow_promote,,,,,6,,192,114
860,promote,shadow_promote,,,,,6,,192,115
1000,stage,staged,,,,,6,,193,115,0.6238
1001,stage,staged,,,,,6,,194,115,0.2762
1002,stage,staged,,,,,6,,195,115,0.1234
1003,stage,staged,,,,,6,,196,115,0.1384
1005,stage,staged,,,,,6,,197,115,0.154
1008,stage,staged,,,,,6,,198,115,0.6147
1011,stage,staged,,,,,6,,199,115,0.6912
1012,stage,staged,,,,,6,,200,115,0.2763
1013,stage,staged,,,,,6,,201,115,0.3219
1016,stage,staged,,,,,6,,202,115,0.153
1017,stage,staged,,,,,6,,203,115,0.0517
1020,stage,staged,,,,,6,,204,115,0.2091
1021,stage,staged,,,,,6,,205,115,0.6082
1022,stage,staged,,,,,6,,206,115,0.4163
1023,stage,staged,,,,,6,,207,115,0.2714
1024,stage,staged,,,,,6,,208,115,0.2769
1025,stage,staged,,,,,6,,209,115,0.2839
1026,stage,staged,,,,,6,,210,115,0.3895
1027,stage,staged,,,,,6,,211,115,0.3807
1032,commit,add,0.5582851767539978,0.4843454360961914,1.0074279355415838,2.077221155166626,6,107,211,116
1033,stage,staged,,,,,6,,212,116,0.6003
1034,stage,staged,,,,,6,,213,116,0.6415
1036,stage,staged,,,,,6,,214,116,0.6651
1037,commit,add,0.5878116488456726,0.4941979646682739,1.0504896784887783,2.0755105018615723,6,115,214,117
1039,stage,staged,,,,,6,,215,117,0.3618
1041,stage,staged,,,,,6,,216,117,0.3193
1042,stage,staged,,,,,6,,217,117,0.4176
1043,stage,staged,,,,,6,,218,117,0.2536
1044,stage,staged,,,,,6,,219,117,0.6397
1046,stage,staged,,,,,6,,220,117,0.609
